1 100 -5 5 101
-1000.00 -5002003017
-960.00 -4425526097
-920.00 -3895135577
-880.00 -3408911457
-840.00 -2964933737
-800.00 -2561282417
-760.00 -2196037497
-720.00 -1867278977
-680.00 -1573086857
-640.00 -1311541137
-600.00 -1080721817
-560.00 -878708897
-520.00 -703582377
-500.00 -625501517
-470.00 -519558227
-440.00 -426308537
-410.00 -344942447
-380.00 -274649957
-350.00 -214621067
-320.00 -164045777
-300.00 -135180917
-280.00 -109917657
-260.00 -88015997
-240.00 -69235937
-220.00 -53337477
-200.00 -40080617
-180.00 -29225357
-160.00 -20531697
-140.00 -13759637
-120.00 -8669177
-100.00 -5020317
-90.00 -3661487
-80.00 -2573057
-70.00 -1725027
-60.00 -1087397
-50.00 -630167
-40.00 -323337
-30.00 -136907
-20.00 -40877
-18.00 -29879
-16.00 -21057
-14.00 -14171
-12.00 -8981
-10.00 -5247
-8.00 -2729
-6.00 -1187
-4.00 -381
-2.00 -71
-1.00 -27
-0.50 -19.625
0.00 -17
0.50 -15.375
1.00 -11
2.00 21
4.00 283
6.00 1009
8.00 2439
10.00 4813
12.00 8371
14.00 13353
16.00 19999
18.00 28549
20.00 39243
30.00 133273
40.00 316903
50.00 620133
60.00 1072963
70.00 1705393
80.00 2547423
90.00 3629053
100.00 4980283
120.00 8611543
140.00 13681203
160.00 20429263
180.00 29095723
200.00 39920583
220.00 53143843
240.00 69005503
260.00 87745563
280.00 109604023
300.00 134820883
320.00 163636143
350.00 214131033
380.00 274072323
410.00 344270013
440.00 425534103
470.00 518674593
500.00 624501483
520.00 702500743
560.00 877454463
600.00 1079281783
640.00 1309902703
680.00 1571237223
720.00 1865205343
760.00 2193727063
800.00 2558722383
840.00 2962111303
880.00 3405813823
920.00 3891749943
960.00 4421839663
1000.00 4998002983
